Title,Image,Unit,Label,Info,propertysmallicon,propertysmallicon1,propertysmallicon2,Type,propertysmallicon3,propertysmallicon4,Description,Tag,dflex,currency,Price
Classic 2BR City Home Gading Riverview (MOI) Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment 2 1 45 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,45 sqm,5.0,"
                                        Kelapa Gading, Apartemen City Home Gading Riverview (MOI)
                                    ",3 Orang,"IDR
5,890,000
 / bulan",IDR, / bulan
2BR Unfurnished with AC at 9th Floor Green Park View Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,Limited Time,"
                                    
                                    
                                        
                                        2 1 36 m2 
                                    
                                ",2,1,36 m2,,,,"
                                        Daan Mogot, Apartemen Green Park View
                                    ",,"IDR
2,935,500
 / bulan",IDR, / bulan
Stunning 2BR with Private Lift at Masterpiece The Epicentrum Kuningan Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Up To 1JT,"
                                    
                                    
                                        
                                        apartment 2 2 83 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,2,2,Full Furnished,83 sqm,4.9,"
                                        Epicentrum, Apartemen The Epicentrum Kuningan
                                    ",3 Orang,"IDR
12,750,000
 / bulan",IDR, / bulan
Good Deal and Restful Studio Bassura City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 18 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,18 sqm,5.0,"
                                        Cipinang, Apartemen Bassura City
                                    ",2 Orang,"IDR
3,860,000
 / bulan",IDR, / bulan
Stunning and Spacious 1BR at Casablanca Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 1 1 77 sqm | 4.6 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,77 sqm,4.6,"
                                        Casablanca, Apartemen Casablanca
                                    ",2 Orang,"IDR
13,000,000
 / bulan",IDR, / bulan
Best Price and Minimalist 2BR Kebagusan City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 38 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,38 sqm,4.9,"
                                        Kebagusan, Apartemen Kebagusan City
                                    ",2 Orang,"IDR
5,090,000
 / bulan",IDR, / bulan
Homey 2BR at Paradise Mansion Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Up To 1JT,"
                                    
                                    
                                        
                                        apartment 2 1 44 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,44 sqm,4.8,"
                                        Kalideres, Apartemen Paradise Mansion
                                    ",3 Orang,"IDR
4,040,000
 / bulan",IDR, / bulan
Cozy and Simply Look Studio Room Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,250,000
 / bulan",IDR, / bulan
Tidy and Cozy 2BR Apartment at Royal Olive Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Disc+Cashbac,"
                                    
                                    
                                        
                                        apartment 2 1 51 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,51 sqm,5.0,"
                                        Pejaten, Apartemen Royal Olive Residence
                                    ",4 Orang,"IDR
7,040,000
 / bulan",IDR, / bulan
Comfy and Homey Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,140,000
 / bulan",IDR, / bulan
Modern 2BR Unfurnished at Samesta East Point Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,NEW,"
                                    
                                    
                                        
                                        2 1 44 m2 
                                    
                                ",2,1,44 m2,,,,"
                                        Cakung, Apartemen Samesta East Point
                                    ",,"IDR
2,000,000
 / bulan",IDR, / bulan
1BR Unfurnished at 3rd Floor Paladian Park Kelapa Gading Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,Limited Time,"
                                    
                                    
                                        
                                        1 1 68 m2 
                                    
                                ",1,1,68 m2,,,,"
                                        Kelapa Gading, Apartemen Paladian Park Kelapa Gading
                                    ",,"IDR
5,025,500
 / bulan",IDR, / bulan
Fancy and Fabulous 1BR Apartment at Pejaten Park Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 1 1 41 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,41 sqm,4.9,"
                                        Pejaten, Apartemen Pejaten Park Residence
                                    ",2 Orang,"IDR
7,400,000
 / bulan",IDR, / bulan
Exclusive 1BR Apartment The Wave Kuningan near Epicentrum By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Favourite,"
                                    
                                    
                                        
                                        apartment 1 1 49 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,49 sqm,5.0,"
                                        Epicentrum, Apartemen The Wave Kuningan
                                    ",2 Orang,"IDR
9,544,000
 / bulan",IDR, / bulan
Brand New and Cozy Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Favourite,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
2,790,000
 / bulan",IDR, / bulan
Unfurnished 2BR at 7th Floor Paladian Park Kelapa Gading Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,Limited Time,"
                                    
                                    
                                        
                                        2 1 71 m2 
                                    
                                ",2,1,71 m2,,,,"
                                        Kelapa Gading, Apartemen Paladian Park Kelapa Gading
                                    ",,"IDR
6,735,500
 / bulan",IDR, / bulan
Chic and Cozy Studio at Tifolia Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,4.9,"
                                        Pulo Gadung, Apartemen Tifolia
                                    ",2 Orang,"IDR
3,959,900
 / bulan",IDR, / bulan
Warm Studio Room at Puri Mansion Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 32 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,32 sqm,5.0,"
                                        Kembangan, Apartemen Puri Mansion
                                    ",2 Orang,"IDR
6,000,000
 / bulan",IDR, / bulan
Homey and Modern 2BR at Kemang Village Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 2 76 sqm | New |Full Furnished
                                    
                                ",Apartment,2,2,Full Furnished,76 sqm,New,"
                                        Kemang, Apartemen Kemang Village
                                    ",4 Orang,"IDR
17,490,000
 / bulan",IDR, / bulan
LeGreen Suite Supomo,,1 unit tersedia,,"
                                    
                                        
                                        
                                            
                                                
                                                    
                                                    
                                                        
                                                            
                                                            
                                                        
                                                    
                                                
                                            
                                                
                                                    
                                                    
                                                        
                                                            
                                                            
                                                        
                                                    
                                                
                                            
                                        
                                    
                                    
                                        
                                        hotel Studio  21 sqm |Full Furnished
                                    
                                ",Hotel,Studio,21 sqm,Full Furnished,,,"
                                        Tebet
                                    ",,"IDR
2,500,000
 / bulan",IDR, / bulan
Comfy and Nice 1BR Batavia Benhil Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 1 1 46 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,46 sqm,5.0,"
                                        Bendungan Hilir, Apartemen Batavia Benhil
                                    ",2 Orang,"IDR
8,000,000
 / bulan",IDR, / bulan
