property_title,availability_number,promotion_label,property_type,bedrooms,bathrooms,furnish_type,apart_size,rating,city,capacity,price,currency,date,month,day,year,quarter,rental_period
Classic 2BR City Home Gading Riverview (MOI) Apartment By Travelio,1.0,Flash Sale,Apartment,2,1,Full Furnished,45 sqm,5.0,Kelapa Gading,3.0,5890000,IDR,2025-01-16,1,16,2025,1,monthly
2BR Unfurnished with AC at 9th Floor Green Park View Apartment By Travelio,1.0,Limited Time,Apartment,2,1,Unfurnished,36 sqm,0,Daan Mogot,0.0,2935500,IDR,2025-01-16,1,16,2025,1,monthly
Stunning 2BR with Private Lift at Masterpiece The Epicentrum Kuningan Apartment By Travelio,1.0,Up To 1JT,Apartment,2,2,Full Furnished,83 sqm,4.9,Epicentrum,3.0,12750000,IDR,2025-01-16,1,16,2025,1,monthly
Good Deal and Restful Studio Bassura City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,18 sqm,5.0,Cipinang,2.0,3860000,IDR,2025-01-16,1,16,2025,1,monthly
Stunning and Spacious 1BR at Casablanca Apartment By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,77 sqm,4.6,Casablanca,2.0,13000000,IDR,2025-01-16,1,16,2025,1,monthly
Best Price and Minimalist 2BR Kebagusan City Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,38 sqm,4.9,Kebagusan,2.0,5090000,IDR,2025-01-16,1,16,2025,1,monthly
Homey 2BR at Paradise Mansion Apartment By Travelio,1.0,Up To 1JT,Apartment,2,1,Full Furnished,44 sqm,4.8,Kalideres,3.0,4040000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy and Simply Look Studio Room Tokyo Riverside PIK 2 Apartment By Travelio,1.0,GOOD DEAL,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,3250000,IDR,2025-01-16,1,16,2025,1,monthly
Tidy and Cozy 2BR Apartment at Royal Olive Residence By Travelio,1.0,Disc+Cashbac,Apartment,2,1,Full Furnished,51 sqm,5.0,Pejaten,4.0,7040000,IDR,2025-01-16,1,16,2025,1,monthly
Comfy and Homey Studio at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,New,PIK 2,2.0,3140000,IDR,2025-01-16,1,16,2025,1,monthly
Modern 2BR Unfurnished at Samesta East Point Apartment By Travelio,1.0,NEW,Apartment,2,1,Unfurnished,44 sqm,0,Cakung,0.0,2000000,IDR,2025-01-16,1,16,2025,1,monthly
1BR Unfurnished at 3rd Floor Paladian Park Kelapa Gading Apartment By Travelio,1.0,Limited Time,Apartment,1,1,Unfurnished,68 sqm,0,Kelapa Gading,0.0,5025500,IDR,2025-01-16,1,16,2025,1,monthly
Fancy and Fabulous 1BR Apartment at Pejaten Park Residence By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,41 sqm,4.9,Pejaten,2.0,7400000,IDR,2025-01-16,1,16,2025,1,monthly
Exclusive 1BR Apartment The Wave Kuningan near Epicentrum By Travelio,1.0,Favourite,Apartment,1,1,Full Furnished,49 sqm,5.0,Epicentrum,2.0,9544000,IDR,2025-01-16,1,16,2025,1,monthly
Brand New and Cozy Studio at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,Favourite,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,2790000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR at 7th Floor Paladian Park Kelapa Gading Apartment By Travelio,1.0,Limited Time,Apartment,2,1,Unfurnished,71 sqm,0,Kelapa Gading,0.0,6735500,IDR,2025-01-16,1,16,2025,1,monthly
